City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,ta`u,-14.2336,-169.5144,27.19,79,56,3.96,AS,2023-07-22 11:34:00
69,edinburgh of the seven seas,-37.0676,-12.3116,12.88,74,12,9.42,SH,2023-07-22 11:34:00
70,tiksi,71.6872,128.8694,7.86,88,58,2.87,RU,2023-07-22 11:34:00
71,idfu,24.9803,32.8747,37.96,7,25,5.63,EG,2023-07-22 11:34:00
72,lata,40.1629,-8.3327,23.93,47,0,4.91,PT,2023-07-22 11:34:00
73,wailua homesteads,22.0669,-159.378,24.44,89,100,7.2,US,2023-07-22 11:34:00
74,fort bragg,35.139,-79.006,29.72,63,100,3.09,US,2023-07-22 11:34:01
75,lazaro cardenas,17.9583,-102.2,28.59,66,100,2.43,MX,2023-07-22 11:34:01
76,ust'-uda,54.1742,103.0304,16.24,74,12,0.95,RU,2023-07-22 11:34:01
77,bakanas,44.8081,76.2772,32.24,18,4,7.51,KZ,2023-07-22 11:34:01
78,constantia,44.1833,28.65,33.38,46,2,4.63,RO,2023-07-22 11:34:02
79,olinda,-8.0089,-34.8553,27.85,69,40,5.66,BR,2023-07-22 11:30:26
80,adamstown,-25.066,-130.1015,21.0,61,80,6.42,PN,2023-07-22 11:31:23
81,yanam,16.7333,82.2167,25.92,87,100,3.37,IN,2023-07-22 11:34:02
82,kurmuk,10.55,34.2833,22.9,85,97,1.46,SD,2023-07-22 11:30:27
83,isafjordur,66.0755,-23.124,11.02,71,100,2.06,IS,2023-07-22 11:30:27
84,san rafael,-34.6177,-68.3301,13.24,45,96,7.01,AR,2023-07-22 11:30:28
85,west island,-12.1568,96.8225,23.99,88,75,5.66,CC,2023-07-22 11:34:03
86,ilulissat,69.2167,-51.1,9.01,81,100,2.57,GL,2023-07-22 11:34:03
87,solwezi,-12.1688,26.3894,18.95,40,6,1.92,ZM,2023-07-22 11:34:03
88,broken hill,-31.95,141.4333,8.69,70,96,4.4,AU,2023-07-22 11:34:03
89,invercargill,-46.4,168.35,5.57,92,46,2.19,NZ,2023-07-22 11:34:03
90,tulun,54.5611,100.5792,15.35,73,7,2.02,RU,2023-07-22 11:34:04
91,catumbela,-12.4314,13.5472,20.69,80,63,2.77,AO,2023-07-22 11:34:04
92,mitu,1.1983,-70.1733,28.81,71,66,1.08,CO,2023-07-22 11:34:04
93,port macquarie,-31.4333,152.9167,12.21,70,93,4.01,AU,2023-07-22 11:32:53
94,opuwo,-18.0607,13.84,23.3,19,0,2.94,NA,2023-07-22 11:34:04
95,tionk essil,12.7856,-16.5217,31.03,61,89,4.8,SN,2023-07-22 11:34:05
96,hilo,19.7297,-155.09,23.47,100,100,1.79,US,2023-07-22 11:32:55
97,dudinka,69.4058,86.1778,18.68,91,90,5.22,RU,2023-07-22 11:32:34
98,smithers,54.7804,-127.1743,14.18,88,75,2.57,CA,2023-07-22 11:34:05
99,cockburn town,21.4612,-71.1419,28.52,74,71,4.98,TC,2023-07-22 11:34:05
100,sandnessjoen,66.0217,12.6316,16.29,82,75,1.54,NO,2023-07-22 11:30:37
101,dharmavaram,14.4333,77.7167,25.41,76,100,10.45,IN,2023-07-22 11:34:05
102,merizo village,13.2658,144.6691,27.31,94,64,4.71,GU,2023-07-22 11:30:37
103,hermanus,-34.4187,19.2345,12.67,81,23,4.57,ZA,2023-07-22 11:34:06
104,utrik,11.2278,169.8474,27.99,75,83,7.83,MH,2023-07-22 11:30:38
105,palghar,19.6833,72.75,26.3,90,100,7.55,IN,2023-07-22 11:34:06
106,antofagasta,-23.65,-70.4,18.6,69,70,5.19,CL,2023-07-22 11:34:06
107,lebu,-37.6167,-73.65,11.79,79,30,3.94,CL,2023-07-22 11:32:44
108,kassala,15.451,36.4,35.34,33,57,4.02,SD,2023-07-22 11:30:39
109,kataba,13.9833,44.3833,22.89,56,97,3.38,YE,2023-07-22 11:34:07
110,lihue,21.9789,-159.3672,24.77,89,100,7.2,US,2023-07-22 11:34:07
111,awjilah,29.1081,21.2869,39.89,11,0,5.11,LY,2023-07-22 11:34:07
112,uturoa,-16.7333,-151.4333,24.29,74,100,6.86,PF,2023-07-22 11:30:40
113,jayapura,-2.5333,140.7,25.66,88,55,0.58,ID,2023-07-22 11:34:08
114,papatowai,-46.5619,169.4708,8.61,96,87,4.06,NZ,2023-07-22 11:34:08
115,college,64.8569,-147.8028,24.0,69,40,1.54,US,2023-07-22 11:34:08
116,la ronge,55.1001,-105.2842,18.14,68,75,4.63,CA,2023-07-22 11:34:08
117,georgetown,5.4112,100.3354,28.96,86,20,1.54,MY,2023-07-22 11:29:53
118,sinabang,2.4803,96.3801,26.48,81,85,0.88,ID,2023-07-22 11:34:09
119,vodnyy,63.5046,53.4095,15.33,86,49,1.59,RU,2023-07-22 11:34:09
120,aqadyr,48.2553,72.8483,22.29,27,76,3.47,KZ,2023-07-22 11:34:14
121,port mathurin,-19.6833,63.4167,23.35,70,1,10.38,MU,2023-07-22 11:34:14
122,kapuskasing,49.4169,-82.4331,22.05,43,20,1.54,CA,2023-07-22 11:34:14
123,caleta de carquin,-11.0925,-77.6267,21.69,70,30,4.14,PE,2023-07-22 11:34:15
