City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,grande prairie,55.1667,-118.8027,18.1,77,40,3.6,CA,2023-07-22 11:30:57
213,luderitz,-26.6481,15.1594,13.94,62,96,3.86,NA,2023-07-22 11:34:31
214,el bauga,18.262,33.9081,38.1,9,42,5.02,SD,2023-07-22 11:34:31
215,malango,-2.9627,119.9001,19.19,97,54,0.45,ID,2023-07-22 11:34:31
216,milagros,12.2181,123.5095,25.34,94,100,5.54,PH,2023-07-22 11:34:31
217,nikolayevsk-on-amure,53.1406,140.73,16.81,67,59,1.85,RU,2023-07-22 11:34:32
218,iskateley,67.6803,53.1512,15.36,89,94,6.55,RU,2023-07-22 11:34:32
219,stanley,54.868,-1.6985,15.99,100,100,3.6,GB,2023-07-22 11:34:32
220,saipan,15.1355,145.701,27.58,100,40,5.14,MP,2023-07-22 11:34:32
221,sisimiut,66.9395,-53.6735,6.08,98,100,6.19,GL,2023-07-22 11:31:04
222,bullhead city,35.1478,-114.5683,39.84,24,0,4.12,US,2023-07-22 11:31:04
223,georgievka,49.3314,81.5761,19.89,35,2,1.67,KZ,2023-07-22 11:34:33
224,halifax,44.6453,-63.5724,21.94,96,100,6.17,CA,2023-07-22 11:27:40
225,karwar,14.8,74.1333,25.55,90,100,7.26,IN,2023-07-22 11:34:33
226,kerikeri,-35.2268,173.9474,10.51,93,100,0.45,NZ,2023-07-22 11:34:33
227,sastre,-31.7676,-61.8289,29.32,34,38,8.61,AR,2023-07-22 11:34:34
228,mirny,62.5353,113.9611,19.02,63,6,1.79,RU,2023-07-22 11:34:34
229,libenge,3.65,18.6333,27.15,72,98,1.38,CD,2023-07-22 11:31:07
230,huarmey,-10.0681,-78.1522,23.06,68,12,4.37,PE,2023-07-22 11:34:34
231,meulaboh,4.1363,96.1285,25.07,88,100,1.63,ID,2023-07-22 11:34:34
232,port lincoln,-34.7333,135.8667,11.7,65,33,6.85,AU,2023-07-22 11:34:35
233,murun-kuren,49.6342,100.1625,13.56,84,72,0.79,MN,2023-07-22 11:34:35
234,enewetak,11.3474,162.3373,28.18,78,65,6.63,MH,2023-07-22 11:34:35
235,udachny,66.4167,112.4,21.36,52,38,4.66,RU,2023-07-22 11:31:09
236,vacaria,-28.5122,-50.9339,19.45,65,64,5.54,BR,2023-07-22 11:34:35
237,kuanda,56.3161,116.0806,16.54,68,4,1.05,RU,2023-07-22 11:34:35
238,tralee,52.2704,-9.7026,16.14,94,100,6.17,IE,2023-07-22 11:34:36
